contest_id,problem,ac_count,penalty_count,accuracy_rate
AWC0031,D,27,196,0.1211
AWC0019,E,44,153,0.2234
AWC0014,C,193,669,0.2239
AWC0020,D,141,388,0.2665
AWC0044,E,42,110,0.2763
AWC0003,E,293,626,0.3188
AWC0004,D,333,644,0.3408
AWC0042,E,45,87,0.3409
AWC0038,E,40,77,0.3419
AWC0011,C,222,398,0.3581
AWC0021,E,67,120,0.3583
AWC0027,E,88,146,0.3761
AWC0010,E,208,328,0.3881
AWC0024,E,94,139,0.4034
AWC0020,E,110,154,0.4167
AWC0040,E,36,50,0.4186
AWC0025,D,123,167,0.4241
AWC0045,B,131,161,0.4486
AWC0023,D,132,148,0.4714
AWC0012,E,200,224,0.4717
AWC0014,B,271,302,0.4729
AWC0030,E,109,119,0.4781
AWC0006,D,244,262,0.4822
AWC0038,C,188,194,0.4921
AWC0032,E,108,108,0.5
AWC0036,C,141,140,0.5018
AWC0009,D,237,222,0.5163
AWC0016,E,110,88,0.5556
AWC0003,D,583,464,0.5568
AWC0020,B,205,159,0.5632
AWC0001,B,1066,819,0.5655
AWC0002,E,557,424,0.5678
AWC0007,E,161,118,0.5771
AWC0018,B,230,167,0.5793
AWC0021,D,138,100,0.5798
AWC0038,D,127,92,0.5799
AWC0029,E,109,77,0.586
AWC0021,B,212,149,0.5873
AWC0027,D,159,101,0.6115
AWC0043,C,126,80,0.6117
AWC0018,E,139,88,0.6123
AWC0033,D,162,101,0.616
AWC0031,A,176,105,0.6263
AWC0014,D,221,127,0.6351
AWC0035,B,181,100,0.6441
AWC0022,D,152,83,0.6468
AWC0017,E,177,96,0.6484
AWC0022,E,124,65,0.6561
AWC0005,C,444,232,0.6568
AWC0013,E,184,95,0.6595
AWC0042,B,165,85,0.66
AWC0031,C,150,75,0.6667
AWC0023,E,127,62,0.672
AWC0004,C,607,294,0.6737
AWC0030,D,151,72,0.6771
AWC0035,D,141,67,0.6779
AWC0033,C,161,76,0.6793
AWC0021,C,209,98,0.6808
AWC0001,D,646,299,0.6836
AWC0018,C,184,85,0.684
AWC0019,D,213,98,0.6849
AWC0039,D,182,83,0.6868
AWC0011,E,126,56,0.6923
AWC0034,C,151,67,0.6927
AWC0005,D,343,152,0.6929
AWC0015,E,174,77,0.6932
AWC0002,D,690,300,0.697
AWC0035,C,140,60,0.7
AWC0001,E,722,307,0.7017
AWC0043,B,145,61,0.7039
AWC0037,C,176,70,0.7154
AWC0012,C,273,108,0.7165
AWC0026,E,89,35,0.7177
AWC0002,C,791,304,0.7224
AWC0031,E,29,11,0.725
AWC0029,D,170,62,0.7328
AWC0008,A,469,170,0.734
AWC0035,E,122,44,0.7349
AWC0042,A,171,61,0.7371
AWC0025,B,211,75,0.7378
AWC0015,D,243,86,0.7386
AWC0011,A,293,103,0.7399
AWC0040,D,89,31,0.7417
AWC0028,E,162,56,0.7431
AWC0028,B,233,80,0.7444
AWC0008,D,352,120,0.7458
AWC0006,B,434,143,0.7522
AWC0015,C,250,80,0.7576
AWC0022,C,204,65,0.7584
AWC0045,D,88,28,0.7586
AWC0016,C,276,86,0.7624
AWC0017,D,207,64,0.7638
AWC0042,C,123,38,0.764
AWC0039,C,205,63,0.7649
AWC0032,A,196,60,0.7656
AWC0025,E,109,33,0.7676
AWC0002,A,895,267,0.7702
AWC0044,D,133,38,0.7778
AWC0039,E,113,32,0.7793
AWC0022,A,244,69,0.7796
AWC0007,B,365,102,0.7816
AWC0008,C,429,119,0.7828
AWC0041,B,124,34,0.7848
AWC0041,D,90,24,0.7895
