rank,username,unique_ac,total_minutes
1,kwm_t,493,6427.83
2,sigtuna,482,5071.72
3,mihhiael,470,5553.87
4,Glemim,464,7047.82
5,gomarine,450,7900.75
6,Rumain,439,8144.2
7,TakaakiUmedu,423,6605.47
8,v7fgg,423,7529.13
9,YuuPika,420,7245.17
10,Aryu,417,7194.55
11,neverly084,416,7145.17
12,hibit,415,7016.63
13,kidodesuyo,414,5357.82
14,t0yama,412,6545.83
15,prd_xxx,407,5578.07
16,lddlinan,402,5727.78
17,kurooo,402,6138.95
18,ktr216,399,6795.98
19,moon17,393,10233.72
20,shingo0909,386,4754.65
21,manuo,378,3770.12
22,dice360,376,6011.38
23,sharking,372,5054.18
24,katalonecfly,366,7669.73
25,ArcAki,359,7698.45
26,magurofly,357,3619.48
27,m041,357,5749.1
28,piyo1999,357,7758.97
29,mmatsumoto1026,352,6852.63
30,imazato,344,4686.28
31,S142857,330,4816.63
32,hnhskni,329,3796.82
33,Nick_s,328,3170.82
34,Sukyakura,328,9956.7
35,tkykwtnb,325,4517.47
36,yoshibo,324,6791.32
37,yamate11,322,5538.85
38,Lirius,310,4733.37
39,ococonomy1,307,2551.83
40,seekworser,300,3489.43
41,zawatin,296,3445.38
42,alignedOne,296,7207.2
43,g222,287,4439.2
44,n_wisteria,287,4450.2
45,npnp,286,4962.92
46,KA37RI,281,5671.72
47,shinyak,281,7739.32
48,addx,280,5988.4
49,kzyKT,276,5503.47
50,ratjohny,272,5177.02
51,Banis,270,7401.13
52,GOTKAKO,258,3033.48
53,tumuz,256,4628.98
54,askr_58,253,3340.05
55,Bolero,253,4240.3
56,roromiya_tenkei,249,5633.38
57,AT_Lele,246,3528.2
58,ossan343,246,3773.22
59,hytkxd,243,4267.65
60,yakiringo,242,4197.55
61,torus711,241,4977.07
62,miya256,238,4586.9
63,Tsumertet97,233,3631.25
64,loop0919,231,5370.63
65,Egor,227,2460.85
66,onezero,227,4287.57
67,fuguriris,226,5965.22
68,june193,222,4276.68
69,ahoy,219,4554.22
70,gomaazarasi,215,2419.3
71,darrenhp,215,3366.23
72,kazukun1311,215,3639.0
73,samayawara,211,3400.38
74,noriok,211,5731.57
75,jikei,209,4532.4
76,miztom,209,4873.73
77,htp32,208,4003.28
78,msksknkn,207,3910.78
79,kemuniku,203,2405.07
80,makotonald,202,4838.95
81,InTheBloom,199,4836.6
82,hiro1729,198,2067.43
83,moldie,197,4470.7
84,bellman1114,193,2735.9
85,yasutake88,188,4307.17
86,Johniel,187,3795.47
87,wsaleem,183,4161.57
88,rrrriki,182,2321.85
89,timi,181,3334.3
90,igeee,180,4592.13
91,t98slider,179,3793.58
92,AwashAmityOak,178,2685.2
93,pnum7,178,2933.12
94,gravekper,178,3404.4
95,kawashima0222,176,4733.85
96,hanagee,175,2428.48
97,po_chan,175,3162.3
98,hidehico,174,2441.02
99,okudeottu,173,2534.73
100,usk99,173,3197.97
101,aruru88,173,3198.33
102,frostflower,172,3382.5
103,ishibashihotaru,171,2300.33
104,abueo,170,4357.88
105,Tatsu_mr,170,4619.17
106,makimakimakki,169,3110.03
107,katsumata68,168,1682.58
108,omochi_gyuhi,168,2779.83
109,jnjkhjlkjhb8,168,3676.07
110,MeSeaw,167,3231.48
111,sasayu,167,4383.3
112,tmrtmr,165,2668.12
113,yoniha,165,3145.68
114,amesyu,164,2960.47
115,batasanblog,163,3483.67
116,Shizen,160,2984.07
117,Citypop,158,2866.65
118,Flashingtw,158,3523.77
119,Nissylog246,157,2724.5
120,ajgttm,156,2259.13
121,shogo314,156,3950.12
122,balakrishnan_v,156,5568.38
123,shirogane1234,155,2845.8
124,Rirnon,153,2088.88
125,satoyuki,153,2969.13
126,Lidelie,152,3514.43
127,rabot,150,1894.03
128,kakaokakao,148,2077.3
129,jastaway,147,1900.27
130,Tehom,147,2703.13
131,daikusutora3,145,2739.02
132,PrincessAAA,145,3194.62
133,mitukage24,144,1732.73
134,sirsoldano,144,2886.92
135,logix,143,2681.28
136,Jane_Smith,141,2770.45
137,agw02010,140,3104.72
138,jendolkk,140,3438.28
139,OilDrum,139,1977.08
140,coder_sy,139,3533.02
141,paramj,138,2630.07
142,underwater,137,2036.23
143,FplusFplusF,136,1791.78
144,unidayo,136,1957.9
145,ais_out,136,3237.42
146,gaoyuliang,136,4350.12
147,tpgugmu,135,3440.95
148,Lumium,134,2113.85
149,Zig3014,133,2849.08
150,ika3gg,131,2055.05
151,yh_0202,131,2268.13
152,aprilhare,131,2312.67
